source,pic_name,detect.width,detect.length,detect.area,detect.cx,detect.cy,detect.class,confidence,truth.cx,truth.cy,truth.class,truth.width,truth.length,truth.angle,truth.area
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,53.5653984435741,53.7184299168,2877.4491022566,1423.171296,240.6721572,complete,0.618835,1429.7551,239.2857,complete,69.6,37.6,0,2616.96
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,54.380284416,51.923843424,2823.63337336897,1878.39,240.5308284,complete,0.609856,1880.7551,235.2857,complete,68,37.6,0,2556.8
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,48.0487093352156,56.8436455296,2731.26380160578,1604.245176,1122.190524,complete,0.608788,1608.4237,1121.9661,complete,72,31.2,0,2246.4
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,46.4841276440968,56.0627469504,2606.02788532109,1182.160656,1123.497864,complete,0.528325,1187.9237,1122.9661,complete,73.2,34.4,3.128624,2518.08
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,50.559552,49.7298528,2514.31907859395,1522.04508,740.942964,complete,0.935756,1522.6937,742.1514,complete,62.68844,37.76668,0.033607,2367.5342531792
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,38.4421417344,57.2914599264,2202.40642266137,1488.847392,937.414296,hair,0.916299,1490.4237,941.4661,hair,80,30.8,0.080645,2464
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,25.6185094771712,15.3424623137164,393.051016187085,994.431816,1334.182752,hair,0.904066,995.093,1335.1989,hair,22.5466,24.55548,2.650279,553.642585368
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,52.992398016,49.4927921088,2622.74173835267,1024.892352,236.4950358,complete,0.903892,1025.8983,235.6389,complete,63.3892,37.92632,0.067532,2404.119083744
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,42.4625495664773,61.853713776,2626.4663870841,898.699536,545.22882,hair,0.89974,900.9237,543.9661,hair,83.6,28.8,0.09622,2407.68
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,41.4875613312,70.1386444224,2909.88131216155,963.819,354.35232,hair,0.892055,951.1763,360.7025,hair,79.45672,30.3898,2.651547,2414.673829456
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,20.6770257792,15.7062657312,324.758861418988,653.504112,1884.118968,hair,0.884557,653.4237,1883.9661,hair,22.4,16.8,0,376.32
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,47.0923756416,53.6614551648,2527.04540409564,2476.795968,1126.775448,blurry.complete,0.882144,2485.4237,1125.9661,blurry.complete,73.6,33.6,0,2472.96
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,42.9482725632,49.0463493984,2106.45598219242,2353.026672,1666.841976,blurry.complete,0.878544,2355.9237,1667.9661,blurry.complete,70.8,29.6,0,2095.68
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,50.5265952384,53.4599634528,2701.14993483928,564.826608,754.350732,complete,0.870869,567.2551,752.2857,blurry.complete,68.4,35.2,0,2407.68
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,51.5277759744,47.6638098037019,2456.01011365156,191.382264,759.930498,blurry.complete,0.867221,194.2551,760.2857,blurry.complete,65.2,38.4,0,2503.68
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,40.2374013696,68.454029232,2754.41224957432,2254.065408,362.346534,hair,0.857889,2252.4976,357.432,hair,30.39112,81.10324,1.29118,2464.8182992288
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,40.5647657856,53.721285264,2179.19135443557,1413.069624,349.618194,hair,0.835266,1406.5868,350.1349,hair,33.3622,65.4646,1.086755,2184.04307812
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,43.5281859072,49.230446976,2142.91204826588,369.109872,1131.73119,blurry.complete,0.83494,370.9237,1132.4661,blurry.complete,74,34,0,2516
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,32.5981231488,67.2162230016,2191.12271500336,2504.320416,1381.178466,hair,0.824803,2499.8086,1375.9661,hair,26.7218,71.68136,0.936578,1915.454965648
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,23.3423617536,28.6109941824,667.848176335726,2008.74168,206.4321936,hair,0.822,2011.1388,206.2181,hair,21.29184,36.89616,0.386153,785.5871353344
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,49.0254471676047,51.4993041504,2524.77641479384,600.703776,249.21594,complete,0.807283,601.2551,247.2857,complete,67.6,36,3.10544,2433.6
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,48.0204545879195,50.4391087584,2422.10893158788,2462.167368,746.5203,blurry.complete,0.802083,2467.9237,743.9661,blurry.complete,73.2,36.8,0,2693.76
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,44.7358640256,53.0456021856,2373.04084653107,1800.728496,1678.238676,blurry.complete,0.799603,1800.9237,1678.4661,complete,70,32.4,0,2268
T32L75.csv,T32L75_W3_A4_R5_P267_g44_3,45.8837257383417,49.3843005792,2265.93570355584,2424.891816,245.50047,blurry.complete,0.789869,2425.7551,242.2857,blurry.complete,64.8,32,0,2073.6
